,accuracy,precision,recall,f1
Logistic Regression,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0
SVM,0.9722222222222222,0.9629629629629629,0.9761904761904763,0.9680464778503994
